player_code,tm_player_id,fpl_name,tm_name
428610,415646,Bruno André Cavaco Jordão,Bruno Jordão
428626,383109,Przemyslaw Placheta,Przemysław Płacheta
431960,439351,Bendegúz Bolla,Bendegúz Bolla
432711,581669,Conrad Egan-Riley,CJ Egan-Riley
432927,532824,Daniel Langley,Dan Langley
437476,491596,Braian Ojeda Rodríguez,Braian Ojeda
437626,535955,Nuno Varela Tavares,Nuno Tavares
437858,487469,Vitor Ferreira,Vitinha
439510,609883,Luke Mbete-Tabu,Luke Mbete
440120,561452,Daniel Chesters,Dan Chesters
440955,366729,Nazarii Rusyn,Nazarii Rusyn
441455,468249,Victor da Silva,Vitinho
443629,662334,Marcelo de Araújo Pitaluga Filho,Marcelo Pitaluga
443967,374139,Junior Firpo Adames,Junior Firpo
444102,711337,Francisco Evanilson de Lima Barbosa,Evanilson
444307,655877,Thimothée Lo-Tutala,Tom Holmes
445896,703577,Kgaogelo Chauke,Kegs Chauke
447880,576121,Joshua Wilson-Esbrand,Josh Wilson-Esbrand
448482,703474,Robert Street,Rob Street
448487,462820,Andreas Söndergaard,Andreas Søndergaard
450072,412937,Shurandy Sambo,Shurandy Sambo
450550,587019,Finley Stevens,Fin Stevens
451432,498237,David Mota Veiga Teixeira do Carmo,David Carmo
453537,588412,Carlos Mendes Gomes,Carlos Mendes
461450,598958,Max Thompson,Max Thompson
461533,655880,Ademipo Odubeko,Mipo Odubeko
465702,538998,Timothée Pembélé,Timothée Pembélé
479683,668268,Marcus Oliveira Alencar,Marquinhos
484658,554284,Kacper Kozłowski,Kacper Kozlowski
485047,673492,Felipe Rodrigues da Silva,Morato
486385,595809,Norberto Bercique Gomes Betuncal,Beto
489571,696849,Etienne Green, Etienne Green
490000,696892,Blondy Nna Noukeu,Blondy Noukeu
490180,696502,Aribim Pepple,Aribim Pepple
491287,671915,Enzo Barrenechea,Enzo Barrenechea
492368,449597,Isaac Schmidt,Isaac Schmidt
493736,936867,Jimmy Morgan,Jimmy-Jay Morgan
493837,535479,Jay Matete,Jay Matete
494950,712592,Harvey Cartwright,Harvey Cartwright
495145,617009,Alex Paulsen,Alex Paulsen
